[-0.002184635028243065],[-0.44341084361076355],[177.8626272715782],[-0.007060736417770386],[0.13424454629421234],[-168.54758905101488]
[-0.0024445033632218838],[-0.4435928463935852],[177.64682859250928],[-0.007012360729277134],[0.13425423204898834],[-168.5506899921654]
[-0.0028603344690054655],[-0.44357240200042725],[177.3609175607473],[-0.006998899858444929],[0.13425154983997345],[-168.56383108967913]
[-0.0032504815608263016],[-0.4434475004673004],[177.00202039571045],[-0.006888192147016525],[0.13431674242019653],[-168.52001712614313]
[-0.0027657661121338606],[-0.4435195028781891],[177.44173439037908],[-0.0069984677247703075],[0.13425831496715546],[-168.60019214599694]
[-0.0027199750766158104],[-0.4434671103954315],[177.54137910999313],[-0.006991901900619268],[0.13423889875411987],[-168.62701323964757]
[-0.002822800539433956],[-0.4434467554092407],[177.50187875507916],[-0.007006448693573475],[0.1342446357011795],[-168.63783961695228]
[-0.0031236428767442703],[-0.44340309500694275],[177.31147021853485],[-0.006826340686529875],[0.13423162698745728],[-168.46031220230995]
[-0.0031546815298497677],[-0.44339221715927124],[177.3259213248687],[-0.006765047088265419],[0.1341085582971573],[-168.11755938646027]
[-0.003008662723004818],[-0.44328930974006653],[177.29326925998691],[-0.006852565333247185],[0.13420727849006653],[-168.22041331975575]
[-0.002880609128624201],[-0.44322192668914795],[177.3202960885961],[-0.007263856939971447],[0.1344059854745865],[-168.93003400358015]
[-0.0022888584062457085],[-0.4433743953704834],[177.88967801925344],[-0.006829651538282633],[0.13447734713554382],[-169.22333652165372]
[-0.0021404128056019545],[-0.4433321952819824],[177.74158626978644],[-0.006805788725614548],[0.13419778645038605],[-168.43592364213805]
[-0.002180626383051276],[-0.4433102309703827],[177.73918152283926],[-0.007173275109380484],[0.13402003049850464],[-168.50100886836472]
[-0.0021087578497827053],[-0.4431544542312622],[177.7125102833882],[-0.007111005485057831],[0.13404445350170135],[-168.57331237039952]
[-0.0021256119944155216],[-0.44303593039512634],[177.67970667047507],[-0.007305295672267675],[0.1339588612318039],[-168.61811402930252]
[-0.0020856233313679695],[-0.4430983066558838],[177.72830973734392],[-0.007047434337437153],[0.13391759991645813],[-168.42275991908573]
[-0.0016691385535523295],[-0.44338729977607727],[177.42422048371358],[-0.007105495315045118],[0.1339612603187561],[-168.40041159851597]
[-0.001968557946383953],[-0.44319766759872437],[177.64851991626338],[-0.006923644803464413],[0.13402870297431946],[-168.4203950537795]
