[-0.06943213194608688],[-0.5988041162490845],[176.4365373634492],[0.023632103577256203],[0.1495969295501709],[-169.93225386135822]
[-0.06943489611148834],[-0.5987986326217651],[176.43217089981184],[0.023664886131882668],[0.14960213005542755],[-169.90881550013356]
[-0.069477379322052],[-0.5988419055938721],[176.4861925738354],[0.023640800267457962],[0.14962278306484222],[-169.91053249309155]
[-0.0695347785949707],[-0.5987954139709473],[176.3536306472048],[0.02345287799835205],[0.14964133501052856],[-169.87452494322164]
[-0.06954506039619446],[-0.5987731218338013],[176.34363979781165],[0.023453211411833763],[0.14964905381202698],[-169.8750871851728]
[-0.06938532739877701],[-0.5982166528701782],[176.57176632423892],[0.02487730234861374],[0.14913836121559143],[-169.8945076927527]
[-0.07177603244781494],[-0.5984357595443726],[174.99108566204487],[0.023953482508659363],[0.14952507615089417],[-170.0768843505577]
[-0.07008565217256546],[-0.5984959006309509],[175.3457891991759],[0.023841699585318565],[0.1494213193655014],[-170.13260089631365]
[-0.06995280086994171],[-0.5986104011535645],[175.2944009983726],[0.024305380880832672],[0.14954298734664917],[-170.08796893292143]
[-0.06993792951107025],[-0.5986042022705078],[175.28308807179934],[0.02437194623053074],[0.14945003390312195],[-170.12886855731463]
[-0.06994149833917618],[-0.5986034870147705],[175.27844883220504],[0.024403005838394165],[0.14932551980018616],[-170.1476639489608]
[-0.06994382292032242],[-0.5986050367355347],[175.27769861885366],[0.024402718991041183],[0.14932043850421906],[-170.1493521142711]
[-0.06991630792617798],[-0.598619818687439],[175.279427321507],[0.024630257859826088],[0.1493052989244461],[-170.35072848977052]
[-0.0698975920677185],[-0.5986317992210388],[175.27848697635022],[0.024335812777280807],[0.1494286209344864],[-170.10562693703378]
[-0.0698046088218689],[-0.5986059904098511],[175.18911723529172],[0.024294789880514145],[0.149473175406456],[-170.10637920457566]
[-0.06981018930673599],[-0.5986060500144958],[175.1890917354729],[0.02461085468530655],[0.14935770630836487],[-170.30470452282887]
[-0.06980058550834656],[-0.5986129641532898],[175.18556864875677],[0.024517225101590157],[0.1493901014328003],[-170.32815538149737]
[-0.06980516761541367],[-0.5986139178276062],[175.17886141983075],[0.024414971470832825],[0.14936134219169617],[-170.2209509519185]
[-0.06981074064970016],[-0.5986220836639404],[175.16718596467493],[0.02446630597114563],[0.1493869572877884],[-170.1726284906555]
[-0.07667195796966553],[-0.5976822972297668],[169.7032462347708],[0.03664851561188698],[0.14805340766906738],[-164.73141598703535]
[-0.10363470017910004],[-0.5891042947769165],[154.30850004815187],[0.058430131524801254],[0.14845140278339386],[-158.20623037686613]
[-0.1276942640542984],[-0.5745180249214172],[142.19717462303842],[0.07418221235275269],[0.150970920920372],[-154.75188722828756]
[-0.13738569617271423],[-0.5663121938705444],[136.9886841122689],[0.08055292814970016],[0.15206925570964813],[-152.767928920147]
[-0.14515995979309082],[-0.5581824779510498],[131.9610725573904],[0.08558642119169235],[0.15322840213775635],[-150.77404627493448]
[-0.1503850817680359],[-0.5514209270477295],[127.38239476158365],[0.08977478742599487],[0.15399590134620667],[-148.95635497474692]
[-0.15545018017292023],[-0.5439295172691345],[122.22569290343128],[0.09533071517944336],[0.15530793368816376],[-146.75223956877002]
[-0.1613510698080063],[-0.5343273282051086],[117.36567679074244],[0.10308346897363663],[0.15770108997821808],[-144.5710732508893]
[-0.16459980607032776],[-0.5273752212524414],[114.56420995582872],[0.10786402225494385],[0.1595291942358017],[-143.72669286293728]
