[0.0031301558483392],[-0.5484639406204224],[174.2307228524631],[0.007815222255885601],[0.1931784451007843],[17.537645841766615]
[0.0031997463665902615],[-0.5485013723373413],[174.28031999735532],[0.008028955198824406],[0.19338975846767426],[16.905021650555117]
[0.002982365433126688],[-0.5487133264541626],[174.27563992342905],[0.008105327375233173],[0.1935088187456131],[16.336206980735916]
[0.002825864590704441],[-0.5485702753067017],[175.1459308084704],[0.008271495811641216],[0.19352997839450836],[16.357550951919205]
[0.002811816520988941],[-0.5484461188316345],[175.07043419161687],[0.008264332078397274],[0.19355246424674988],[16.368852969992354]
[0.00280459295026958],[-0.5485934615135193],[175.05393938479207],[0.008250996470451355],[0.19354942440986633],[16.29085559222762]
[0.0027817862574011087],[-0.5486827492713928],[175.11297356333444],[0.008343400433659554],[0.19353985786437988],[16.18334104891046]
[0.002608537208288908],[-0.5486913323402405],[175.04419829511022],[0.008432367816567421],[0.19358029961585999],[15.990292648529703]
[0.002628565998747945],[-0.5487014055252075],[175.05133708828814],[0.008665874600410461],[0.193513885140419],[15.930194775214384]
[0.0026114375796169043],[-0.5487368106842041],[175.0507063643725],[0.008686802349984646],[0.19349005818367004],[15.894265746192884]
[0.00215997826308012],[-0.5485705137252808],[174.80537665489396],[0.00873575545847416],[0.19341613352298737],[15.732905510160716]
[0.001425392460078001],[-0.5481849908828735],[174.22869652721806],[0.008608328178524971],[0.19326071441173553],[15.82394251926128]
[0.0011036517098546028],[-0.5484474897384644],[174.16341172192728],[0.007456131745129824],[0.19401077926158905],[16.52161418995623]
[0.00039649801328778267],[-0.5484489798545837],[174.81210071664967],[0.0077419038861989975],[0.19414135813713074],[14.29038885858557]
[0.0007142254617065191],[-0.548378586769104],[174.9043680925852],[0.00769137404859066],[0.1936393678188324],[11.073640101368472]
[0.0009312548208981752],[-0.5482462048530579],[174.83633690176057],[0.007183062378317118],[0.19343331456184387],[11.89836381472011]
[0.0008070012554526329],[-0.5482689738273621],[174.7785767051779],[0.007262601982802153],[0.1933699995279312],[11.929439760510588]
[0.0011406518751755357],[-0.5480492115020752],[174.8339372310224],[0.007047899533063173],[0.1932067573070526],[12.219895219524048]
[0.001225683488883078],[-0.5481740236282349],[174.8468458969379],[0.007288206834346056],[0.193308025598526],[12.115549244395083]
[0.0012426753528416157],[-0.5481424927711487],[174.82749762664292],[0.007443261332809925],[0.1934768408536911],[11.943819901269485]
[0.001151053118519485],[-0.5483003258705139],[174.83485999413548],[0.007494159042835236],[0.19338813424110413],[11.981926119826204]
[0.0013026202796027064],[-0.5481843948364258],[174.7956901190337],[0.00750083988532424],[0.19340446591377258],[11.989588367656927]
[0.0012777848169207573],[-0.5482296347618103],[174.7851910676951],[0.007343895733356476],[0.19335401058197021],[11.957670945813598]
[0.0013114818139001727],[-0.5481864809989929],[174.77807370587666],[0.007433703634887934],[0.1933990865945816],[11.867790115815817]
[0.001319325645454228],[-0.5481964349746704],[174.7966955703565],[0.0074039027094841],[0.19344273209571838],[11.881627162598436]
[0.001324572367593646],[-0.5482146143913269],[174.79391289353114],[0.0073590148240327835],[0.193517804145813],[11.898299646163517]
[0.0013245545560494065],[-0.5481950044631958],[174.79549742212455],[0.007434895262122154],[0.19338445365428925],[11.876800881897863]
[0.0014142805011942983],[-0.5481759905815125],[174.69783586882858],[0.007391174323856831],[0.19341635704040527],[11.909200135642058]
[0.00140620325691998],[-0.5481714606285095],[174.68744927989076],[0.007491847965866327],[0.19329190254211426],[11.865435637647064]
[0.0013935731258243322],[-0.5481938123703003],[174.69391985384902],[0.007509448099881411],[0.19328626990318298],[11.88829743474739]
[0.001410981174558401],[-0.5481829643249512],[174.6932024509095],[0.0075479610823094845],[0.19328901171684265],[11.921476314253201]
[0.0014062090776860714],[-0.5481923818588257],[174.6865488633768],[0.007435266859829426],[0.19340944290161133],[11.85458801535331]
[0.001356555032543838],[-0.5482240915298462],[174.7847013215793],[0.0075585064478218555],[0.193320631980896],[11.905910472153733]
[0.0013116030022501945],[-0.5482437610626221],[174.7708430193944],[0.0075415950268507],[0.193323016166687],[11.901963548869528]
[0.0013281583087518811],[-0.5482496619224548],[174.77751289546194],[0.007559068035334349],[0.19330857694149017],[11.897545972003483]
[0.001333493273705244],[-0.5482350587844849],[174.7660060227933],[0.007563361432403326],[0.19332580268383026],[11.90415508412723]
[0.0013358494034036994],[-0.5482325553894043],[174.77071736571796],[0.007533219177275896],[0.19331248104572296],[11.906892766478867]
[0.0013061428908258677],[-0.5482463836669922],[174.771323404104],[0.007451081648468971],[0.19341813027858734],[11.865598316599415]
[-0.11877121031284332],[-0.3976595401763916],[95.04271114849726],[0.08841896057128906],[0.06910266727209091],[-86.0258428642821]
[-0.12011504918336868],[-0.38361847400665283],[91.96285219310155],[0.08682854473590851],[0.06001643091440201],[-88.8720251083394]
[-0.12058562785387039],[-0.3715239465236664],[89.65073324120587],[0.08502752333879471],[0.05232901871204376],[-91.03599816297738]
[-0.12045442312955856],[-0.3612786829471588],[88.00858119533308],[0.08325989544391632],[0.04587634652853012],[-92.67687642977957]
[-0.1202566996216774],[-0.3496527373790741],[86.54574661468764],[0.08102106302976608],[0.037970587611198425],[-94.56911534096736]
[-0.12006797641515732],[-0.34186968207359314],[85.82195319343236],[0.07918918132781982],[0.0330834835767746],[-95.51949103568828]
[-0.11939340829849243],[-0.33032578229904175],[84.55408554266464],[0.07669976353645325],[0.025942740961909294],[-96.72144821588249]
[-0.11834917217493057],[-0.31905505061149597],[83.65361417212016],[0.07411971688270569],[0.018927976489067078],[-98.1571563186688]
[-0.11737820506095886],[-0.30952006578445435],[83.04272487059556],[0.0718783512711525],[0.013026953674852848],[-99.35499451707463]
[-0.11602950096130371],[-0.29780128598213196],[82.08356575097591],[0.06890449672937393],[0.00622513284906745],[-100.2817230208161]
[-0.11547140777111053],[-0.2897651493549347],[81.13388264663133],[0.06707726418972015],[0.0017294763820245862],[-100.37332390321814]
[-0.11400327831506729],[-0.27975332736968994],[80.30574682073456],[0.0646662637591362],[-0.003862017998471856],[-100.89155486379781]
[-0.11229278892278671],[-0.26808643341064453],[79.43700066905872],[0.06146254390478134],[-0.010639332234859467],[-101.72940919443685]
[-0.11019646376371384],[-0.2547335922718048],[78.567071286602],[0.057675302028656006],[-0.01891821064054966],[-103.0502071925753]
[-0.10853158682584763],[-0.24513264000415802],[78.1555639550543],[0.05458242446184158],[-0.024553414434194565],[-103.521544378535]
[-0.10683051496744156],[-0.23522450029850006],[77.88639604016353],[0.05166471749544144],[-0.030329525470733643],[-104.43737716030064]
[-0.1049841120839119],[-0.2256256490945816],[77.76301819797732],[0.04862080514431],[-0.035768214613199234],[-105.2056067162601]
[-0.10348467528820038],[-0.2179042249917984],[77.5679747393422],[0.04631035029888153],[-0.04012270271778107],[-105.93069547374033]
[-0.10102000832557678],[-0.20625674724578857],[77.11207490088994],[0.04270387440919876],[-0.04663686081767082],[-106.06208733725919]
[-0.09916287660598755],[-0.19637611508369446],[76.41368434801221],[0.039501089602708817],[-0.052440959960222244],[-106.36620680049653]
[-0.09663817286491394],[-0.1845557987689972],[75.8953657736247],[0.03523293137550354],[-0.059157051146030426],[-106.62122815091062]
[-0.09443435817956924],[-0.1748104691505432],[75.9670904662099],[0.0320337675511837],[-0.06493351608514786],[-106.86811005309264]
[-0.09293513000011444],[-0.1666882038116455],[76.11797839790832],[0.02928146906197071],[-0.06954942643642426],[-107.61749218196823]
[-0.09109006822109222],[-0.15902307629585266],[76.31168997017508],[0.026398416608572006],[-0.07423318177461624],[-108.10985882067394]
[-0.08908802270889282],[-0.14912882447242737],[76.40207724039865],[0.023219283670186996],[-0.07961414754390717],[-108.68082546950397]
[-0.0864906907081604],[-0.1359003782272339],[76.07668393855813],[0.01914341188967228],[-0.08630993962287903],[-109.087550675335]
[-0.08722537755966187],[-0.13209764659404755],[71.522017564217],[0.02010919526219368],[-0.08524244278669357],[-111.16227232483062]
[-0.08701242506504059],[-0.12399429827928543],[64.1565886228054],[0.022671427577733994],[-0.08424143493175507],[-111.48532110969188]
[-0.08602859079837799],[-0.11711568385362625],[55.51857985289283],[0.025147346779704094],[-0.08475115895271301],[-112.38560386099184]
[-0.08517768234014511],[-0.11346805095672607],[49.7008320838297],[0.025167638435959816],[-0.08581006526947021],[-114.22931448715545]
[-0.08455750346183777],[-0.11063013970851898],[45.31911363554362],[0.025926172733306885],[-0.08702187985181808],[-116.97185089029979]
[-0.08428336679935455],[-0.10885020345449448],[44.52501755635097],[0.026098594069480896],[-0.08839800953865051],[-119.49804673723578]
[-0.08438527584075928],[-0.10625884681940079],[43.479965278720314],[0.02668611705303192],[-0.08957866579294205],[-122.5048826754193]
[-0.08291506767272949],[-0.10198523104190826],[40.06519406304238],[0.029312273487448692],[-0.09002359956502914],[-123.91417381450243]
[-0.08237839490175247],[-0.09968794882297516],[36.975126367378394],[0.0302753783762455],[-0.09070093184709549],[-124.42783279013526]
[-0.08235140889883041],[-0.09830539673566818],[35.99889227633064],[0.030038103461265564],[-0.0919022336602211],[-125.85964600518597]
[-0.08288193494081497],[-0.09706950187683105],[36.04018102633061],[0.029516613110899925],[-0.09364279359579086],[-128.87842479070568]
[-0.08302203565835953],[-0.09570277482271194],[36.77139312998288],[0.02928341180086136],[-0.09464605152606964],[-131.8837553424613]
[-0.08069968223571777],[-0.09135634452104568],[32.93569601840092],[0.03173576667904854],[-0.09517820924520493],[-133.13283359519573]
[-0.0791424959897995],[-0.08891037851572037],[30.41267955708455],[0.033167093992233276],[-0.09578115493059158],[-133.88350550756613]
[-0.07884392142295837],[-0.08670100569725037],[29.992252890880355],[0.03297456353902817],[-0.09691905975341797],[-136.5651498792648]
[-0.07874105125665665],[-0.0849466398358345],[28.677232142139243],[0.03295041620731354],[-0.09788206964731216],[-138.26818743180667]
[-0.07903546094894409],[-0.08300075680017471],[26.610039611281316],[0.03249233216047287],[-0.09906058758497238],[-139.50770632383785]
[-0.07910136878490448],[-0.08172498643398285],[25.16578961144078],[0.031766995787620544],[-0.09989605844020844],[-140.43276051992365]
[-0.07899604737758636],[-0.07956957817077637],[23.879656445534657],[0.030963530763983727],[-0.1013995036482811],[-142.79681146301922]
[-0.07841890305280685],[-0.0776432529091835],[22.30394611227028],[0.03130517899990082],[-0.10222406685352325],[-144.20646102074204]
