[0.7251888513565063],[1.4686965942382812],[137.89202569896173],[-1.1160368919372559],[-0.48147886991500854],[31.39198845027737]
[0.7251765131950378],[1.4687050580978394],[137.84307413172144],[-1.116034984588623],[-0.48148682713508606],[31.394351990043358]
[0.7251583933830261],[1.4687480926513672],[137.79219332647602],[-1.1160458326339722],[-0.48147884011268616],[31.39092796286853]
[0.7251659035682678],[1.4687354564666748],[137.8017318914189],[-1.1160029172897339],[-0.4815083146095276],[31.41154011401923]
[0.725161612033844],[1.4687423706054688],[137.78623359219566],[-1.1160026788711548],[-0.48150771856307983],[31.41447006139818]
[0.7251530885696411],[1.4687578678131104],[137.77872332025055],[-1.1160017251968384],[-0.48150885105133057],[31.408534409534465]
[0.7251512408256531],[1.4687556028366089],[137.77821934772516],[-1.115731954574585],[-0.4813426434993744],[31.470716458663137]
[0.7251577973365784],[1.468759298324585],[137.77447447158988],[-1.1128489971160889],[-0.47954636812210083],[29.26893628932473]
[0.7251558303833008],[1.4687637090682983],[137.76706118415652],[-1.102960467338562],[-0.47455671429634094],[24.211225673820454]
[0.7251465320587158],[1.4687663316726685],[137.77186894582505],[-1.0906325578689575],[-0.469748854637146],[19.51531202060147]
[0.7251540422439575],[1.4687670469284058],[137.76404678092985],[-1.0774801969528198],[-0.46552231907844543],[14.827148283418525]
[0.7251515984535217],[1.4687623977661133],[137.76090783274884],[-1.0647510290145874],[-0.46244150400161743],[10.979208286462212]
[0.7251467108726501],[1.4687761068344116],[137.7538369498195],[-1.04794442653656],[-0.46022123098373413],[5.471001303639203]
[0.726844847202301],[1.464712142944336],[141.26193522222505],[-0.9932672381401062],[-0.46329307556152344],[-9.010147730778181]
[0.7316056489944458],[1.4562861919403076],[149.63541193140736],[-0.9836734533309937],[-0.46493780612945557],[-10.462925277936627]
[0.744655191898346],[1.4414018392562866],[166.3775893415546],[-0.9706833958625793],[-0.4673745632171631],[-12.325544157122737]
[0.7612739205360413],[1.432072639465332],[-179.5270470828413],[-0.9583640694618225],[-0.4703757166862488],[-13.837926226378999]
[0.7720086574554443],[1.4290205240249634],[-173.09883915662084],[-0.9502729177474976],[-0.47241082787513733],[-14.466309720521497]
[0.7814311385154724],[1.4271875619888306],[-167.7196036802689],[-0.9420288801193237],[-0.47450733184814453],[-14.97012078892796]
[0.8200076222419739],[1.4295786619186401],[-142.3157432531092],[-0.9028663635253906],[-0.4860208034515381],[-18.840257361551433]
[0.869026243686676],[1.4610990285873413],[-120.0630662749138],[-0.8470520377159119],[-0.5059685111045837],[-19.715645956759737]
[0.9094822406768799],[1.5113612413406372],[-94.27849660551007],[-0.7748913168907166],[-0.5315890312194824],[-20.2600430264119]
[0.9162651300430298],[1.5406360626220703],[-96.66988729006896],[-0.7401071190834045],[-0.5438134670257568],[-20.179057993203386]
[0.9181095957756042],[1.545667052268982],[-98.32969712392398],[-0.7314141988754272],[-0.5468943119049072],[-20.426315765228043]
[0.9199540019035339],[1.5491888523101807],[-100.19402455032261],[-0.7246548533439636],[-0.5493825674057007],[-20.402865661571678]
[0.9221851229667664],[1.556155800819397],[-101.76126368386731],[-0.7161933183670044],[-0.5524551272392273],[-20.29605680640507]
[0.9259099364280701],[1.5647079944610596],[-101.9392071272727],[-0.7062243819236755],[-0.5561621189117432],[-20.17741765843782]
[0.9322808384895325],[1.5728362798690796],[-94.92249158547754],[-0.6946293711662292],[-0.5602021813392639],[-20.28814132070878]
[0.9362747669219971],[1.5775524377822876],[-89.86637998014228],[-0.6846179366111755],[-0.5637268424034119],[-20.239076177341868]
[0.9406020641326904],[1.5815563201904297],[-86.06800286026476],[-0.6763750910758972],[-0.5667212605476379],[-20.18736605970904]
[0.9460808038711548],[1.5876423120498657],[-79.38981416421282],[-0.6633227467536926],[-0.5716066956520081],[-20.0966818179575]
[0.9500473737716675],[1.5937292575836182],[-73.6519912320354],[-0.6534326672554016],[-0.5749529600143433],[-20.041452964415924]
[0.9521529078483582],[1.5980093479156494],[-69.69485714278004],[-0.6450402140617371],[-0.5779498815536499],[-20.234659466359997]
[0.953943133354187],[1.6022735834121704],[-64.76842219232608],[-0.6364725828170776],[-0.5809777975082397],[-20.281310070883492]
[0.9561519622802734],[1.6072169542312622],[-60.821540728491335],[-0.6281107068061829],[-0.5839754343032837],[-20.273181018742523]
[0.9579099416732788],[1.6115829944610596],[-57.15453684123054],[-0.6196030378341675],[-0.5870105028152466],[-20.287334572709483]
[0.9591545462608337],[1.6166114807128906],[-53.14878934322793],[-0.6112160682678223],[-0.5900561809539795],[-20.182697867814575]
[0.9600089192390442],[1.6213198900222778],[-49.432175819207956],[-0.6029403209686279],[-0.5930366516113281],[-20.20305544280684]
[0.96028733253479],[1.6270403861999512],[-44.78131753592749],[-0.5929800868034363],[-0.5965749025344849],[-20.325645813502273]
[0.9605075120925903],[1.631382703781128],[-41.94285644820401],[-0.5863672494888306],[-0.5989943146705627],[-20.370887771804277]
[0.9603807330131531],[1.6370850801467896],[-37.443311654032385],[-0.5764800906181335],[-0.6025206446647644],[-20.278349855790008]
[0.9596053957939148],[1.6412346363067627],[-33.782065722510104],[-0.5683462619781494],[-0.605601966381073],[-20.0338800915558]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5584458708763123],[-0.6090578436851501],[-19.859331176994925]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5484752058982849],[-0.6124952435493469],[-20.229935011259084]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5396773815155029],[-0.6155912280082703],[-20.38717823508437]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5328018069267273],[-0.6181254982948303],[-20.49485340757199]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5210447311401367],[-0.6223798394203186],[-20.329420514218704]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.5094317197799683],[-0.6266221404075623],[-20.21043095774498]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4994600713253021],[-0.6300727128982544],[-20.383003874051607]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4895288348197937],[-0.6336475014686584],[-20.39120842346885]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4828837215900421],[-0.6359248161315918],[-20.273693189522803]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.47473955154418945],[-0.6390058398246765],[-20.184332869341464]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4650121331214905],[-0.6424789428710938],[-19.913737650906107]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.45671945810317993],[-0.6454362869262695],[-20.20721811205536]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4462638795375824],[-0.6491363048553467],[-20.498264222768977]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.43942025303840637],[-0.6516372561454773],[-20.55439771663615]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4276283085346222],[-0.6558617353439331],[-20.398958036687276]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.412678599357605],[-0.6612396836280823],[-20.23621435612712]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.4061133861541748],[-0.6636515855789185],[-20.24720055253655]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.39783775806427],[-0.6665279269218445],[-20.32333725407154]
[0.9587137699127197],[1.6447879076004028],[-30.40100784811737],[-0.38796526193618774],[-0.6701170802116394],[-20.246515772574732]
[0.8877692222595215],[1.691093921661377],[29.507020094367675],[-0.3796643018722534],[-0.6731640100479126],[-20.23689023267066]
[0.8813228607177734],[1.6908204555511475],[28.895866871963868],[-0.37314069271087646],[-0.6755973696708679],[-20.029869983647604]
[0.870248019695282],[1.6897544860839844],[33.70107384653106],[-0.3647133708000183],[-0.678432047367096],[-20.075961727079665]
[0.8622933626174927],[1.687692403793335],[38.18042211879097],[-0.35638049244880676],[-0.681492269039154],[-20.41181000866742]
[0.8568524718284607],[1.6844607591629028],[41.11344411051529],[-0.3493918180465698],[-0.683901309967041],[-20.519087586385826]
[0.8520740866661072],[1.6820306777954102],[44.20960460999288],[-0.3392517566680908],[-0.687555193901062],[-20.534615838317112]
[0.8488258123397827],[1.6841293573379517],[45.82807676566886],[-0.33081483840942383],[-0.6906498670578003],[-20.438848438908746]
[0.8467008471488953],[1.6840226650238037],[47.141221909466346],[-0.3225594460964203],[-0.6937569975852966],[-20.288767497226825]
[0.8409834504127502],[1.6824926137924194],[53.3716476992709],[-0.3125740885734558],[-0.697144091129303],[-20.404759619160444]
[0.8373079895973206],[1.6810338497161865],[54.968308837174256],[-0.3042775094509125],[-0.7002220749855042],[-20.522430904603116]
[0.8358458280563354],[1.6759532690048218],[51.49418703866199],[-0.29428809881210327],[-0.7038463950157166],[-20.450872399231905]
[0.8303481340408325],[1.672276258468628],[50.220384123912616],[-0.28274184465408325],[-0.7080792188644409],[-20.278092794776107]
[0.8306469917297363],[1.66048264503479],[48.06046699476429],[-0.27465078234672546],[-0.7109984159469604],[-19.996728343237624]
[0.8202276825904846],[1.642107367515564],[53.91260479643516],[-0.2646457850933075],[-0.7145019769668579],[-20.219554902416423]
[0.8222498297691345],[1.6298736333847046],[55.57952437725902],[-0.25594010949134827],[-0.7175259590148926],[-20.509171993627106]
[0.8213716745376587],[1.6253019571304321],[58.12980115726815],[-0.24734415113925934],[-0.720607578754425],[-20.520239260767458]
[0.8184994459152222],[1.6200486421585083],[55.16754883409712],[-0.2404860258102417],[-0.7230367064476013],[-20.59588981415332]
[0.8153976202011108],[1.6136136054992676],[48.96627417632175],[-0.23228473961353302],[-0.7261326313018799],[-20.63158720033205]
[0.8136957883834839],[1.609919548034668],[42.90551099822987],[-0.2255413681268692],[-0.728582501411438],[-20.5269221410956]
[0.8119527697563171],[1.6059006452560425],[35.58825323447224],[-0.21732652187347412],[-0.7315043210983276],[-20.369194334604206]
[0.808061420917511],[1.6013362407684326],[29.476159906383057],[-0.20897258818149567],[-0.7343794107437134],[-20.35271308226383]
[0.800422728061676],[1.5956015586853027],[20.59020532833621],[-0.19585587084293365],[-0.739138126373291],[-20.38159762930772]
[0.7962824106216431],[1.5935596227645874],[16.120901197854792],[-0.1892915815114975],[-0.741579532623291],[-20.264913387522707]
[0.7890064716339111],[1.5903940200805664],[9.830087203958264],[-0.17948605120182037],[-0.7451819777488708],[-20.15142951516161]
[0.7839412093162537],[1.588839054107666],[5.6951950518261985],[-0.1727423071861267],[-0.7474643588066101],[-20.189166885972607]
[0.7734425663948059],[1.58733069896698],[-1.7512195945495175],[-0.15914976596832275],[-0.7523476481437683],[-20.49536511199546]
[0.7645487189292908],[1.5873775482177734],[-7.047276124974592],[-0.14723354578018188],[-0.7566223740577698],[-20.651204921993486]
[0.7591313719749451],[1.5879393815994263],[-9.602623085830587],[-0.14051282405853271],[-0.7590914964675903],[-20.569046698067098]
[0.7522154450416565],[1.589194893836975],[-12.663754726338931],[-0.1322319060564041],[-0.7621892094612122],[-20.378968388668024]
[0.7411758303642273],[1.5922138690948486],[-17.14308897371383],[-0.11909135431051254],[-0.7668963074684143],[-20.493090617649212]
[0.7331278324127197],[1.5949881076812744],[-20.24011666745449],[-0.10909169167280197],[-0.7705190181732178],[-20.598988278012044]
[0.7265446782112122],[1.5976042747497559],[-22.85315567105934],[-0.10084546357393265],[-0.7733936905860901],[-20.48623724518195]
[0.7164568901062012],[1.6024292707443237],[-26.501325870352982],[-0.08778698742389679],[-0.7782734036445618],[-20.118923552173882]
[0.7103886604309082],[1.6061433553695679],[-27.820169790117024],[-0.07949091494083405],[-0.7811436057090759],[-20.30020651675045]
[0.6985220909118652],[1.6142361164093018],[-29.234011954441016],[-0.06250015646219254],[-0.7872558236122131],[-20.630240797634574]
[0.6839924454689026],[1.624913215637207],[-30.784788607794898],[-0.04228867590427399],[-0.7946443557739258],[-20.45991800413418]
[0.6777297854423523],[1.6300641298294067],[-31.440937624438707],[-0.03403892740607262],[-0.7977356314659119],[-20.377833892928287]
[0.6707452535629272],[1.6354387998580933],[-32.71131558662638],[-0.024121593683958054],[-0.8013443350791931],[-20.422151462524578]
[0.6652666330337524],[1.6398141384124756],[-33.68537282663148],[-0.015724873170256615],[-0.8042406439781189],[-20.524461503255264]
[0.6585242748260498],[1.6454155445098877],[-34.9305362190747],[-0.00575000885874033],[-0.8078742623329163],[-20.476100885214045]
[0.6527257561683655],[1.6505423784255981],[-35.26111342755228],[0.002342847641557455],[-0.8109598755836487],[-20.339411367670607]
[0.6456726789474487],[1.6573892831802368],[-35.10062944364954],[0.011816810816526413],[-0.8145673871040344],[-20.03117493550715]
[0.6386412978172302],[1.6638603210449219],[-34.63750911684715],[0.021736308932304382],[-0.8180404305458069],[-20.269888792744798]
[0.6295797824859619],[1.6728140115737915],[-33.97682835723975],[0.03560733422636986],[-0.8229710459709167],[-20.68832026817306]
[0.6236653327941895],[1.6784305572509766],[-33.6021750680234],[0.044345367699861526],[-0.8260546922683716],[-20.732710082531703]
[0.6179790496826172],[1.6833691596984863],[-33.3223073041925],[0.053281981498003006],[-0.8293814659118652],[-20.8965566647105]
[0.6105824708938599],[1.690532922744751],[-32.46192357160161],[0.06323932856321335],[-0.8331015706062317],[-20.5160495802143]
[0.6054723262786865],[1.6950541734695435],[-31.979620207921613],[0.06984376162290573],[-0.8354131579399109],[-20.512716966421742]
[0.5977250337600708],[1.702164649963379],[-31.430993678259156],[0.07966906577348709],[-0.8389399647712708],[-20.537833546619304]
[0.5907947421073914],[1.7077059745788574],[-31.647149230842707],[0.08941391110420227],[-0.8423616290092468],[-20.642251598814173]
[0.5847312211990356],[1.7132123708724976],[-30.40031541032919],[0.09755003452301025],[-0.8454252481460571],[-20.533492002147153]
[0.5795379281044006],[1.7180941104888916],[-29.19996677467562],[0.10399222373962402],[-0.8478195667266846],[-20.253650444974514]
[0.5718261003494263],[1.7246017456054688],[-27.519309755404027],[0.1138983741402626],[-0.8511819243431091],[-20.37507525754771]
[0.5621970891952515],[1.7320868968963623],[-25.85456008736431],[0.12565326690673828],[-0.8554851412773132],[-20.786919290300926]
[0.555475652217865],[1.7365597486495972],[-24.989420266436166],[0.1341569423675537],[-0.8586174249649048],[-21.239930935381167]
[0.5443816781044006],[1.7448784112930298],[-22.47544943872552],[0.14730440080165863],[-0.86368727684021],[-21.768876055521655]
[0.5371293425559998],[1.7500262260437012],[-21.202955716326027],[0.15522179007530212],[-0.8668957352638245],[-21.579551680028427]
[0.5301253795623779],[1.7543123960494995],[-19.798811106826104],[0.16340462863445282],[-0.8698174953460693],[-21.654287621233856]
[0.5242984890937805],[1.7579669952392578],[-18.799729014537313],[0.17001856863498688],[-0.8724225759506226],[-21.531496409049453]
[0.5166199803352356],[1.762083888053894],[-17.681378983360112],[0.17822474241256714],[-0.8755388855934143],[-21.448061327665407]
[0.5104427337646484],[1.765643835067749],[-16.39435952881879],[0.1847989708185196],[-0.8779691457748413],[-21.35333049022191]
[0.5024996399879456],[1.7699919939041138],[-14.850215182298934],[0.19296672940254211],[-0.8812101483345032],[-21.256939105352647]
[0.4929722249507904],[1.7743936777114868],[-13.082654948302311],[0.2028573602437973],[-0.8850308060646057],[-21.287246074347884]
[0.48483511805534363],[1.778271198272705],[-10.998718963542316],[0.21117034554481506],[-0.8880994319915771],[-21.38153775146933]
[0.4766342043876648],[1.7817282676696777],[-8.8840565798092],[0.2196006029844284],[-0.8912793397903442],[-21.546189240002192]
[0.4684602916240692],[1.785097360610962],[-6.899432474614624],[0.22815315425395966],[-0.8945193886756897],[-21.65990543067502]
[0.461988240480423],[1.7870914936065674],[-5.289978902414302],[0.23471246659755707],[-0.8970164060592651],[-21.729097078169957]
[0.45320361852645874],[1.7900587320327759],[-2.7671426562609196],[0.2430158108472824],[-0.900307834148407],[-21.58733865156003]
[0.4437873363494873],[1.7929948568344116],[0.1720401058272176],[0.2511654794216156],[-0.9035869836807251],[-21.399313679623205]
[0.43462157249450684],[1.7950892448425293],[2.7733937399354263],[0.25947457551956177],[-0.9065551161766052],[-21.354322853035427]
[0.4256778955459595],[1.7966959476470947],[5.222441871978226],[0.2677800953388214],[-0.9096775054931641],[-21.47531606172061]
[0.4151172935962677],[1.7979151010513306],[8.273525022026025],[0.27760303020477295],[-0.9134358167648315],[-21.462314481893937]
[0.4062676727771759],[1.7985005378723145],[11.089237832647225],[0.28579187393188477],[-0.9166380167007446],[-21.435958458675415]
[0.3991243243217468],[1.7991969585418701],[13.70162671584336],[0.2922353446483612],[-0.9191539883613586],[-21.179326723455]
[0.38981765508651733],[1.7992793321609497],[16.824130590523414],[0.30032816529273987],[-0.9222965836524963],[-21.07927387569102]
[0.38226819038391113],[1.7988028526306152],[19.21946551858121],[0.30705979466438293],[-0.9247129559516907],[-21.43980716528177]
[0.37271633744239807],[1.7978464365005493],[22.511174261868486],[0.315610408782959],[-0.9278765320777893],[-21.632120024527627]
[0.3530201017856598],[1.7943755388259888],[29.61307325789212],[0.33238551020622253],[-0.9343705773353577],[-21.78846421676849]
[0.3437105119228363],[1.7918591499328613],[33.33697320179929],[0.34062498807907104],[-0.937538743019104],[-21.572848394344206]
[0.3352159559726715],[1.7889344692230225],[36.91792604073217],[0.3487689197063446],[-0.9407019019126892],[-21.3859781223956]
[0.3280681371688843],[1.786318063735962],[39.90248930207734],[0.35533368587493896],[-0.9430730938911438],[-21.454304013146846]
[0.31970450282096863],[1.782512903213501],[43.54346989965372],[0.36345741152763367],[-0.946337878704071],[-21.446558069935776]
[0.31278854608535767],[1.7786784172058105],[46.96242508862147],[0.3701546788215637],[-0.9489868879318237],[-21.56398713286105]
[0.30076929926872253],[1.7712117433547974],[53.174421580098596],[0.3816581666469574],[-0.9533687829971313],[-21.619622710025368]
[0.2944488227367401],[1.7662817239761353],[56.90110103751793],[0.3882060945034027],[-0.9558655619621277],[-21.510513022920357]
[0.286659300327301],[1.7598286867141724],[61.900999652933066],[0.39625126123428345],[-0.958904504776001],[-21.356788056162422]
[0.2791798710823059],[1.7526218891143799],[67.5793778725264],[0.4045228958129883],[-0.962188720703125],[-21.508596450573446]
[0.26931729912757874],[1.7399448156356812],[76.2165441220652],[0.41815051436424255],[-0.9674277305603027],[-21.796849885402587]
[0.2649325430393219],[1.7333087921142578],[80.25688047242319],[0.42476579546928406],[-0.9700361490249634],[-21.834495500106566]
[0.2607269883155823],[1.724348783493042],[85.5123220204792],[0.4331187307834625],[-0.9731702208518982],[-22.30434109549801]
[0.25611716508865356],[1.7123788595199585],[92.94212282735106],[0.44254764914512634],[-0.977138876914978],[-22.574941153420824]
[0.2534830868244171],[1.7020752429962158],[99.17433120420816],[0.45039716362953186],[-0.9803780317306519],[-22.636375271946896]
[0.25150662660598755],[1.6917803287506104],[105.51293558316375],[0.4587969183921814],[-0.9835380911827087],[-22.728712720578468]
[0.25124499201774597],[1.6771845817565918],[113.69939535209576],[0.4701039493083954],[-0.988240659236908],[-22.43589391737082]
[0.2524004876613617],[1.6670265197753906],[119.41573499496982],[0.4781191051006317],[-0.9916267991065979],[-22.37874650177528]
[0.2543688416481018],[1.6574721336364746],[124.69150599672497],[0.48631271719932556],[-0.9949389696121216],[-22.20884720394302]
[0.2566884458065033],[1.6502361297607422],[128.51245546163935],[0.49303892254829407],[-0.9975599050521851],[-22.328159828837247]
[0.25997087359428406],[1.641804575920105],[133.22527633949505],[0.501310408115387],[-1.0008289813995361],[-22.489277456415522]
[0.2638913691043854],[1.6336584091186523],[137.17504618956815],[0.5097875595092773],[-1.0042705535888672],[-22.686016497278345]
[0.27213791012763977],[1.621855616569519],[142.8920511018895],[0.5230752825737],[-1.0097275972366333],[-22.68830245388196]
[0.2775948643684387],[1.614725947380066],[145.9600634871313],[0.5311678051948547],[-1.0130550861358643],[-22.509965843868322]
[0.28384146094322205],[1.6082159280776978],[148.5804210144512],[0.5393582582473755],[-1.0163838863372803],[-22.45947440460573]
[0.2896127700805664],[1.6023303270339966],[150.66354296562133],[0.5475789904594421],[-1.0195393562316895],[-22.697479222062658]
[0.29453083872795105],[1.5976274013519287],[152.38594009365585],[0.553999662399292],[-1.0222376585006714],[-22.64500968200731]
[0.30088382959365845],[1.5925244092941284],[154.11292146083957],[0.5623154044151306],[-1.0255992412567139],[-22.64543820462509]
[0.30695199966430664],[1.588277816772461],[154.6651194929021],[0.5704270601272583],[-1.0289710760116577],[-22.54813129557521]
[0.31307899951934814],[1.5843662023544312],[154.28987203228337],[0.5785218477249146],[-1.0322237014770508],[-22.41804908015969]
[0.3188871443271637],[1.5806937217712402],[153.6777569163993],[0.5865390300750732],[-1.0355019569396973],[-22.29515101279393]
[0.3232755959033966],[1.5783202648162842],[152.82154818304932],[0.5930222272872925],[-1.0381544828414917],[-22.626719832489748]
[0.32963794469833374],[1.5745835304260254],[151.0581830247223],[0.6031410098075867],[-1.0424093008041382],[-22.89675826147334]
[0.33512499928474426],[1.5711780786514282],[148.95513425868418],[0.6115941405296326],[-1.045770525932312],[-22.8950189511785]
[0.3416551351547241],[1.5664901733398438],[146.29518012730435],[0.6214177012443542],[-1.0497692823410034],[-22.689273257746905]
[0.3472868800163269],[1.56261146068573],[143.95221171444493],[0.6295738816261292],[-1.0531867742538452],[-22.566129919726052]
[0.3522731065750122],[1.5590331554412842],[141.44994918483027],[0.6377092003822327],[-1.0564199686050415],[-22.52658796134357]
[0.3583439290523529],[1.5544711351394653],[138.1057888708354],[0.6475592255592346],[-1.0604221820831299],[-22.581622505090213]
[0.3629320561885834],[1.5509567260742188],[134.5572729953428],[0.6558099985122681],[-1.0637283325195312],[-22.55807881159328]
[0.36716392636299133],[1.5469547510147095],[130.9865527243479],[0.6638906002044678],[-1.066983699798584],[-22.521348437715446]
[0.3703444004058838],[1.5439834594726562],[128.36188404282476],[0.67026686668396],[-1.069703459739685],[-22.378940347830046]
[0.3750215470790863],[1.5380206108093262],[124.84413692319697],[0.6799697875976562],[-1.073553204536438],[-22.453055768727726]
[0.3797460198402405],[1.530450701713562],[121.20020941093011],[0.691491425037384],[-1.0782355070114136],[-23.384068682943045]
[0.3830314576625824],[1.5250427722930908],[118.25974344949412],[0.6996840834617615],[-1.0817852020263672],[-24.041322750575226]
[0.38764622807502747],[1.516568660736084],[112.86149685218456],[0.7123985886573792],[-1.0874155759811401],[-24.787115025208017]
[0.3901662528514862],[1.5115491151809692],[109.12148551107312],[0.7202468514442444],[-1.0909814834594727],[-24.721876622988052]
[0.39245250821113586],[1.5063159465789795],[105.81987684629676],[0.7282940745353699],[-1.0946917533874512],[-24.474806770644538]
[0.39440613985061646],[1.4996438026428223],[101.89424127724504],[0.7380959987640381],[-1.0989525318145752],[-24.47965992767594]
[0.39585214853286743],[1.4936641454696655],[98.87017883019705],[0.7461768984794617],[-1.102659821510315],[-24.61837498271638]
[0.396954745054245],[1.4872734546661377],[95.88256552732794],[0.7543430328369141],[-1.1062432527542114],[-24.67538305880732]
[0.3979797065258026],[1.479943037033081],[91.87601296309059],[0.7637333273887634],[-1.110613226890564],[-24.401450749812064]
[0.3983226716518402],[1.4750969409942627],[89.67621824734726],[0.770194947719574],[-1.1134740114212036],[-24.32301639803947]
[0.3981941342353821],[1.467777967453003],[86.5687630619752],[0.779839277267456],[-1.1177634000778198],[-24.438159202912722]
[0.3982029855251312],[1.462441325187683],[83.95431542515657],[0.7882584929466248],[-1.1213874816894531],[-24.721087326672855]
[0.3969746232032776],[1.4568021297454834],[81.57560516093237],[0.796541690826416],[-1.1251267194747925],[-24.752308632437188]
