[-0.37566590309143066],[0.8671140670776367],[-62.77979271410477],[-0.12294837832450867],[1.087885856628418],[-165.4694917093683]
[-0.37565848231315613],[0.8671129941940308],[-62.77869076218649],[-0.12294527888298035],[1.087899923324585],[-165.47867177276024]
[-0.375662237405777],[0.8671175837516785],[-62.777485824633324],[-0.12284202128648758],[1.0878474712371826],[-165.5369598568037]
[-0.3756544589996338],[0.867114782333374],[-62.78271958964629],[-0.12282466143369675],[1.0878530740737915],[-165.5619349523707]
[-0.37567320466041565],[0.867106556892395],[-62.77823999371077],[-0.12286430597305298],[1.0875734090805054],[-165.37625901145006]
[-0.37565380334854126],[0.8671064376831055],[-62.78174032070287],[-0.1228104755282402],[1.087801456451416],[-165.54327853416908]
[-0.37565767765045166],[0.8671149015426636],[-62.78120990467441],[-0.12281934171915054],[1.0878026485443115],[-165.54172640000087]
[-0.375655859708786],[0.8671037554740906],[-62.77907490584633],[-0.1228027269244194],[1.087798833847046],[-165.54771363606318]
[-0.37565141916275024],[0.8671237826347351],[-62.786915841378864],[-0.12280867993831635],[1.0877996683120728],[-165.54169296674468]
[-0.3756299912929535],[0.8671216368675232],[-62.79731944342043],[-0.12281394749879837],[1.0878024101257324],[-165.54181027046087]
[-0.37566402554512024],[0.8671094179153442],[-62.77904580078123],[-0.12281197309494019],[1.0878082513809204],[-165.54829038861894]
[-0.37566107511520386],[0.8671196699142456],[-62.78236354654557],[-0.12281670421361923],[1.0878047943115234],[-165.54373732063547]
[-0.375633180141449],[0.8671069741249084],[-62.799704764893605],[-0.12281233072280884],[1.0877907276153564],[-165.5377609404001]
[-0.37562817335128784],[0.8671088814735413],[-62.80330031979931],[-0.12279357761144638],[1.0878015756607056],[-165.56769347785723]
[-0.3756601810455322],[0.867109477519989],[-62.78655176683418],[-0.12279632687568665],[1.0878074169158936],[-165.56243820917496]
[-0.37564975023269653],[0.867117166519165],[-62.79484378045867],[-0.12281593680381775],[1.0878058671951294],[-165.54771072332835]
[-0.3756614923477173],[0.8671040534973145],[-62.78186923194185],[-0.12280265986919403],[1.087799072265625],[-165.54313477528683]
[-0.37562742829322815],[0.8671101927757263],[-62.79703739476247],[-0.12278791517019272],[1.0878044366836548],[-165.56061458527864]
[-0.3756416440010071],[0.8671283721923828],[-62.78460225966923],[-0.12276387959718704],[1.087805151939392],[-165.5821373207423]
[-0.3756257891654968],[0.867115318775177],[-62.79733442843443],[-0.1227831095457077],[1.0878006219863892],[-165.56451667264218]
[-0.3756554126739502],[0.8671236038208008],[-62.78311849170041],[-0.12280580401420593],[1.0878256559371948],[-165.56059921606231]
[-0.3756277859210968],[0.8671164512634277],[-62.79468441068542],[-0.12279633432626724],[1.0878255367279053],[-165.56097877613973]
[-0.37565603852272034],[0.8671101331710815],[-62.780252666735294],[-0.1231052502989769],[1.0880175828933716],[-165.36976007707128]
[-0.3756495416164398],[0.8671265244483948],[-62.78470338407831],[-0.12311907112598419],[1.0880348682403564],[-165.37405962997985]
[-0.37563538551330566],[0.8671190142631531],[-62.79980708165238],[-0.1220448911190033],[1.0884466171264648],[-166.34445882970118]
[-0.37563279271125793],[0.8671148419380188],[-62.79951532219989],[-0.12027570605278015],[1.088748812675476],[-166.39785092714553]
[-0.37565329670906067],[0.8671112656593323],[-62.791809490812525],[-0.11504814028739929],[1.0887519121170044],[-166.53614595933934]
[-0.37564751505851746],[0.8671081066131592],[-62.7987957393933],[-0.10931337624788284],[1.0893808603286743],[-166.00845597049687]
[-0.3756471574306488],[0.8671186566352844],[-62.79110636900355],[-0.10367202013731003],[1.0898865461349487],[-166.1868988977974]
[-0.37566497921943665],[0.8671146035194397],[-62.77618181539542],[-0.09757876396179199],[1.0906682014465332],[-167.0982610210713]
[-0.37565019726753235],[0.8671102523803711],[-62.781797013529754],[-0.09515068680047989],[1.0911405086517334],[-168.25323149085938]
[-0.37563225626945496],[0.8671132326126099],[-62.80079902346101],[-0.0944935753941536],[1.0915237665176392],[-169.28774348052139]
[-0.37565505504608154],[0.8671238422393799],[-62.78900147856914],[-0.09143160283565521],[1.0919930934906006],[-170.34570117775897]
[-0.37565621733665466],[0.8671221733093262],[-62.78684739433849],[-0.08869452029466629],[1.0922969579696655],[-171.23234726476755]
[-0.3756634593009949],[0.8671292066574097],[-62.7787439102983],[-0.08814338594675064],[1.0924832820892334],[-172.08809012103046]
[-0.37562867999076843],[0.8671062588691711],[-62.7990565689826],[-0.08736630529165268],[1.0932154655456543],[-174.12384753931005]
[-0.375649094581604],[0.8671095371246338],[-62.779591070487555],[-0.08574692904949188],[1.0936639308929443],[-176.13404118701285]
[-0.3756289482116699],[0.8671149015426636],[-62.79934315420684],[-0.0816640555858612],[1.0935114622116089],[-176.13806415181656]
[-0.37563326954841614],[0.867120623588562],[-62.800005058614666],[-0.0778043270111084],[1.0931476354599],[-175.48468535016607]
[-0.3756353557109833],[0.8671194911003113],[-62.798224111870006],[-0.07362078130245209],[1.0928014516830444],[-173.8030472210906]
[-0.3756391108036041],[0.8671144843101501],[-62.79588845945083],[-0.06892789900302887],[1.0929495096206665],[-172.73919261278317]
[-0.3756607472896576],[0.8671057820320129],[-62.7833682356636],[-0.06254170089960098],[1.0942726135253906],[-171.10697101169515]
[-0.3756377696990967],[0.8671069145202637],[-62.79718909165543],[-0.05749008059501648],[1.0970516204833984],[-169.62822878161592]
[-0.3756326735019684],[0.8671150207519531],[-62.79501444757223],[-0.05262920260429382],[1.1004528999328613],[-167.55412402568518]
[-0.37566134333610535],[0.8671117424964905],[-62.783492548115184],[-0.0446547195315361],[1.106114387512207],[-165.37091502343776]
[-0.3756546974182129],[0.8671109080314636],[-62.78579310665682],[-0.036667101085186005],[1.1118088960647583],[-165.1271758533239]
[-0.37564617395401],[0.867112398147583],[-62.78004788818321],[-0.03072042018175125],[1.1165872812271118],[-165.43154327539298]
[-0.3756488859653473],[0.8671224117279053],[-62.786358184375864],[-0.020814653486013412],[1.1233233213424683],[-165.96052809920033]
[-0.3756541907787323],[0.8671086430549622],[-62.7841971158855],[-0.011131526902318],[1.1310389041900635],[-165.56369777962882]
[-0.3756600320339203],[0.8671174645423889],[-62.7763565056724],[0.0013201335677877069],[1.1404997110366821],[-164.85530162041007]
[-0.37565240263938904],[0.8671154379844666],[-62.7817632177499],[0.010975505225360394],[1.1482841968536377],[-164.69446431925178]
[-0.37565696239471436],[0.8671125769615173],[-62.77766297848125],[0.01780242659151554],[1.154325246810913],[-164.22827109653272]
[-0.3756594955921173],[0.8671252727508545],[-62.780556299607895],[0.025091037154197693],[1.1616401672363281],[-162.82539253376115]
[-0.3756628930568695],[0.8671009540557861],[-62.78120758592497],[0.02989114075899124],[1.167704701423645],[-160.87188829441308]
[-0.3756643533706665],[0.867112398147583],[-62.782587615342706],[0.03394795209169388],[1.1751348972320557],[-157.7581311845311]
[-0.37566250562667847],[0.8671084642410278],[-62.78006199459091],[0.03552030026912689],[1.1818307638168335],[-154.31499871455213]
[-0.37566086649894714],[0.8671172857284546],[-62.78191889259873],[0.034845445305109024],[1.1893130540847778],[-148.77264391025867]
[-0.37566912174224854],[0.8671172857284546],[-62.774318473892926],[0.03136030584573746],[1.1946063041687012],[-142.7987041592244]
[-0.3756703734397888],[0.8671156764030457],[-62.77904451331599],[0.02417067252099514],[1.1991621255874634],[-136.2182348363683]
[-0.3756681978702545],[0.8671154379844666],[-62.780102840447654],[0.0161126721650362],[1.2017176151275635],[-129.50467882697484]
[-0.3756687045097351],[0.8671171069145203],[-62.77744368621121],[0.00572853721678257],[1.2027959823608398],[-123.07997820545428]
[-0.37566882371902466],[0.8671128749847412],[-62.774499102588706],[-0.0025615179911255836],[1.203795313835144],[-117.70998544510077]
[-0.3756353259086609],[0.8671146631240845],[-62.80070819100264],[-0.01729785092175007],[1.2020610570907593],[-107.004877311716]
[-0.3756481409072876],[0.8671063780784607],[-62.78123553000154],[-0.026806550100445747],[1.200152039527893],[-101.38365404341312]
[-0.3756432831287384],[0.8671010136604309],[-62.803938598757014],[-0.03967662528157234],[1.1963509321212769],[-93.81595285083593]
[-0.3756254017353058],[0.8671156167984009],[-62.798373837081385],[-0.04699015989899635],[1.1924505233764648],[-90.96794789246256]
[-0.3756444752216339],[0.8671137094497681],[-62.78826597909767],[-0.05702689290046692],[1.1797598600387573],[-90.74234707323039]
[-0.37564972043037415],[0.8671122193336487],[-62.780839796029646],[-0.0568985752761364],[1.172581434249878],[-95.5740686484175]
[-0.3756553530693054],[0.8671067953109741],[-62.783710006551665],[-0.05534972995519638],[1.163996934890747],[-102.74074305176536]
[-0.37562936544418335],[0.867107093334198],[-62.799498188149975],[-0.05232851207256317],[1.1519691944122314],[-114.73802107411404]
[-0.3756465017795563],[0.8671116828918457],[-62.782532503098636],[-0.051705580204725266],[1.1403954029083252],[-122.44510130189202]
[-0.3756578862667084],[0.8671038150787354],[-62.78483883037504],[-0.05118221417069435],[1.129469633102417],[-130.46291985359008]
[-0.37566161155700684],[0.8671347498893738],[-62.776785982160916],[-0.051614224910736084],[1.1216893196105957],[-135.44598443617596]
[-0.37566739320755005],[0.8671258091926575],[-62.78682414021488],[-0.05270703509449959],[1.112318754196167],[-141.3418557516377]
[-0.37564095854759216],[0.8671197295188904],[-62.79482931382028],[-0.05368223413825035],[1.1021277904510498],[-146.66886438837946]
[-0.37565577030181885],[0.8671204447746277],[-62.78525956859282],[-0.0550348274409771],[1.0935722589492798],[-152.16587048450137]
[-0.3756324350833893],[0.8671061396598816],[-62.801942740649324],[-0.057305045425891876],[1.0828468799591064],[-158.2145325947254]
[-0.3756316602230072],[0.8671066761016846],[-62.79777299214066],[-0.06052175536751747],[1.0730407238006592],[-164.1017648536981]
[-0.37565600872039795],[0.8671215176582336],[-62.78717344686168],[-0.0628458634018898],[1.0669593811035156],[-167.22017709791487]
[-0.37564072012901306],[0.8671166896820068],[-62.7974081379157],[-0.06483396142721176],[1.0633938312530518],[-169.43356016891752]
[-0.37565043568611145],[0.8671306371688843],[-62.78426535128819],[-0.06154273450374603],[1.0722278356552124],[-161.02281082450045]
[-0.37566888332366943],[0.8671062588691711],[-62.78369387802078],[-0.0561712309718132],[1.0863299369812012],[-149.60054126074007]
[-0.3756668269634247],[0.8671008348464966],[-62.78271080815736],[-0.05461664870381355],[1.0946292877197266],[-143.5456845568791]
[-0.37564215064048767],[0.8671121001243591],[-62.78226093184158],[-0.0557737722992897],[1.107521414756775],[-136.34405473122075]
[-0.3756496012210846],[0.8671231269836426],[-62.78848947268184],[-0.05954611301422119],[1.1176706552505493],[-131.23169178208838]
